	exchange	metabolite	genre1_maxbiomass	genre2_maxbiomass	iteration_added	times_contested	genre1_initial	genre2_initial	genre1_comp_index	genre2_comp_index
0	EX_cpd00119_e	L-Histidine	446.25	159.67	1	3	-477.419	-3.04	2.58180621901758	0.010697348246229
1	EX_cpd00039_e	L-Lysine	446.25	159.67	1	3	-281.228	-53.96	1.52083641279856	0.010697348246229
2	EX_cpd00107_e	L-Leucine	446.25	159.67	1	3	-288.54	-22.265	1.5603785488959	0.010697348246229
3	EX_cpd00322_e	L-Isoleucine	446.25	159.67	1	1	-169.011	-1000	0.304661559260928	0.001188594249581
4	EX_cpd00156_e	L-Valine	446.25	159.67	1	3	-183.541	-17.623	0.992560612888689	0.010697348246229
5	EX_cpd00054_e	L-Serine	446.25	159.67	1	3	-462.391	-17.343	2.50053717890942	0.010697348246229
6	EX_cpd00132_e	L-Asparagine	446.25	159.67	1	3	-1000	-1.017	5.40784136998648	0.010697348246229
7	EX_cpd00035_e	L-Alanine	446.25	159.67	1	3	-710.761	-199.814	3.84368273997296	0.010697348246229
8	EX_cpd00161_e	L-Threonine	446.25	159.67	1	3	-507.604	-11.087	2.74504191077062	0.010697348246229
9	EX_cpd00051_e	L-Arginine	446.25	159.67	1	3	-204.372	-7.848	1.10521135646688	0.010697348246229
10	EX_cpd00067_e	H+	446.25	159.67	1	2	-1000	-1000	3.60522757999099	0.004754376998324
11	EX_cpd00065_e	L-Tryptophan	446.25	159.67	2	1	-4.37	-1.457	0.00787742226228	0.001188594249581
12	EX_cpd00066_e	Phenylalanine	446.25	159.67	2	2	-66.431	-9.791	0.239498873366381	0.004754376998324
