MeanDecreaseAccuracy	feature	color
3.1763864320656	Biosynthesis of secondary metabolites	gray60
3.38708203726153	Phenylpropanoid biosynthesis	gray60
3.4829596240296	ABC transporters	gray60
3.53785760462785	Starch and sucrose metabolism	gray60
3.68586342162512	Valine, leucine, and isoleucine biosynthesis	gray60
3.70607699288036	Amino sugar and nucleotide sugar metabolism	gray60
3.72432448352844	Nicotinate and nicotinamide metabolism	gray60
3.72631951955672	Glycine, serine, and threonine metabolism	white
3.76771627176721	Cysteine and methionine metabolism	white
3.91622699863532	Aminoacyl tRNA biosynthesis	gray60
4.60650417229983	Phenylalanine, tyrosine, and tryptophan biosynthesis	white
4.71201366325281	Galactose metabolism	gray60
4.96060675972526	Purine metabolism	white
5.64188164780983	Biosynthesis of amino acids	gray60
